lot_id,fascicule,batch_index,article_id,title,n_tokens_article
1,4109000,0,DIV.35,DIV.35,32
1,4109000,0,DIV.41,Les Sons-Secrétaires d'Etat,77
1,4109000,0,DIV.52,"Bulletin Politique : Toulouse, le 30 Décembre",960
1,4109000,0,DIV.81,Informations,480
1,4109000,0,DIV.97,Les Avantages de la République,925
1,4109000,0,DIV.110,UN SCANDALE,84
1,4109000,0,DIV.115,PATRIOTISME DES BONAPARTISTES,161
1,4109000,0,DIV.126,A Paris,182
1,4109000,0,DIV.133,En Province,576
1,4109000,0,DIV.148,Étranger,76
1,4109000,0,DIV.156,NOTRE PRIME GRATUITE,720
1,4109000,0,DIV.177,L'ASSISTANCE DÉMOCRATIQUE,1630
1,4109000,0,DIV.222,GRAND THEATRE (salle du Cirque),75
1,4109000,0,DIV.233,THÉATRE DES VARIÉTÉS,406
1,4109000,0,DIV.249,Annonces,87
1,4109000,0,DIV.256,INTÉRIEUR,689
1,4109000,0,DIV.287,EXTÉRIEUR,156
1,4109000,0,DIV.301,LA MAISON VIDE Par JULES CLARETIE,3367
1,4109000,0,DIV.357,Courrier de Paris : (Correspondance particulière de la DÉPÊCHE),1785
1,4109000,0,DIV.394,CORRESPONDANCE TÉLÉGRAPHIQUE : Service particulier de la « DÉPÊCHE »,663
1,4109000,0,DIV.422,Bourse de Toulouse du 30 Déc,430
1,4109000,0,DIV.432,BOURSE DE PARIS du 29 décembre,699
1,4109000,0,DIV.443,Annonces,587
1,4109000,0,DIV.464,DIV.464,20
1,4109000,0,DIV.469,DIV.469,2787
2,4109000,1,DIV.585,DIV.585,484
2,4109000,1,DIV.593,DIV.593,46
2,4109000,1,DIV.598,DIV.598,1564
2,4109000,1,DIV.634,DIV.634,57
2,4109000,1,DIV.639,DIV.639,1683
3,4109676,0,DIV.28,"Les Incarnations de 1 Goblet : TOULOUSE, 1er JUILLET 1882",1136
3,4109676,0,DIV.63,LA RÉFORME JUDICIAIRE,551
3,4109676,0,DIV.78,LE BUDGET DE 1883,249
3,4109676,0,DIV.89,LA RÉORGANISATION DE LA TUNISIE,198
3,4109676,0,DIV.97,LA TRAITE DES ESCLAVES,145
3,4109676,0,DIV.107,Les Bataillons scolaires,117
3,4109676,0,DIV.115,Arrestation d'un Employé,87
3,4109676,0,DIV.122,Le Rapport général du Budget,33
3,4109676,0,DIV.127,La Direction du « Gaulois »,34
3,4109676,0,DIV.132,Les Projets de Décentralisation,85
3,4109676,0,DIV.139,Conseil Supérieur de la Guerre,59
3,4109676,0,DIV.145,Mer intérieure en Tunisie,72
3,4109676,0,DIV.152,Circulaire du Ministre de la Justice,71
3,4109676,0,DIV.157,La Statue de Rabelais,45
3,4109676,0,DIV.162,NOUVELLES DIVERSES,233
3,4109676,0,DIV.174,LES ÉVÉNEMENTS D'ÉGYPTE,570
3,4109676,0,DIV.197,LA CONFÉRENCE,371
3,4109676,0,DIV.215,Les Journaux du Matin,214
3,4109676,0,DIV.227,Les Journaux du Soir,374
3,4109676,0,DIV.244,RUSSIE,44
3,4109676,0,DIV.251,ANGLETERRE,318
3,4109676,0,DIV.261,ITALIE,120
3,4109676,0,DIV.270,LES CRIMES DE L'AMOUR PAR M. L. GAGNEUR : PREMIERE PARTIE,1492
3,4109676,0,DIV.322,PETITES NOUVELLES,847
3,4109676,0,DIV.346,UNE FEMME BRULÉE VIVE,556
4,4109676,1,DIV.362,Manœuvres de la 67e Brigade.,2863
4,4109676,1,DIV.439,HAUTE-GARONNE,59
4,4109676,1,DIV.444,HAUTES-PYRÉNÉES,91
4,4109676,1,DIV.452,TARN,183
4,4109676,1,DIV.458,TRIBUNE DU TRAVAIL,617
4,4109676,1,DIV.482,DERNIÈRE HEURE : Service télégraphique spécial de la DÉPÊCHE.,153
4,4109676,1,DIV.490,Annonces,273
4,4109676,1,DIV.501,BOURSE DE TOULOUSE DU 30 JUIN,907
4,4109676,1,DIV.515,BOURSE DE PARIS Du 30 Juin,113
4,4109676,1,DIV.527,DIEU DISPOSE PAR ALEXANDRE DUMAS,1447
4,4109676,1,DIV.567,BULLETIN FINANCIER,296
4,4109676,1,DIV.576,MARCHE DE TOULOUSE Du 30 Juin,957
4,4109676,1,DIV.590,Annonces,627
4,4109676,1,DIV.603,Publicité,174
4,4109676,1,DIV.613,Annonces,402
4,4109676,1,DIV.630,SPECTACLES DU 1 JUILLET,81
4,4109676,1,DIV.636,Publicité,34
4,4109676,1,DIV.640,Publicité,113
4,4109676,1,DIV.647,Annonces,340
4,4109676,1,DIV.670,Publicité,169
4,4109676,1,DIV.681,Annonces,174
4,4109676,1,DIV.691,Publicité,216
4,4109676,1,DIV.701,Annonces,304
4,4109676,1,DIV.706,Publicité,153
4,4109676,1,DIV.717,Annonces,48
5,4109676,2,DIV.721,Publicité,449
5,4109676,2,DIV.738,Heures des Départs et des Arrivées des Trains des Chemins de fer du Midi et d'Orléans (Service d'été),2254
6,4112815,0,DIV.32,Annonces,55
6,4112815,0,DIV.41,LA JOURNÉE DE HUIT HEURES,2256
6,4112815,0,DIV.72,Annonces,21
6,4112815,0,DIV.76,Ouvriers et Capitalistes,891
6,4112815,0,DIV.93,M. CARNOT DÉCORÉ PAR LE TZAR,870
6,4112815,0,DIV.104,La Succession du prince Jérôme,276
6,4112815,0,DIV.111,LE 1er MAI,118
6,4112815,0,DIV.118,Les Vins platrés,132
6,4112815,0,DIV.124,LE VOYAGE PRÉSIDENTIEL,181
6,4112815,0,DIV.132,CONGRÈS INTERNATIONAL DES MINEURS,1085
6,4112815,0,DIV.156,Le Transport l' « Annamite»,137
6,4112815,0,DIV.162,Le Tzarewitch à Saïgon,79
6,4112815,0,DIV.170,L'Assassinat du ministre Beltcheff,263
6,4112815,0,DIV.180,LES GRÈVES,408
6,4112815,0,DIV.196,LA NEIGE,38
6,4112815,0,DIV.205,Forêts incendiées,67
6,4112815,0,DIV.211,L'Influenza,69
6,4112815,0,DIV.217,Broyés par un train,86
6,4112815,0,DIV.223,Terrible incendie,78
6,4112815,0,DIV.230,Un Crime,122
6,4112815,0,DIV.239,Petites Nouvelles,511
6,4112815,0,DIV.253,BELGIQUE,337
6,4112815,0,DIV.263,ITALIE,169
6,4112815,0,DIV.274,INDES ANGLAISES,166
6,4112815,0,DIV.281,RÉPUBLIQUE ARGENTINE,124
7,4112815,1,DIV.288,Bulletin météorologique,332
7,4112815,1,DIV.305,LE FIACRE N° 13 : PREMIÈRE PARTIE Abel et Berthe,4317
7,4112815,1,DIV.447,LE PROCHAIN RECENSEMENT,756
7,4112815,1,DIV.473,LES CAUSSES DU QUERCY,394
7,4112815,1,DIV.485,DIV.485,1344
7,4112815,1,DIV.515,Courrier des Théâtres : « JUDAS MACHABÉE»,1601
7,4112815,1,DIV.537,Spectacles du 1er avril,170
7,4112815,1,DIV.549,AVEYRON,1216
7,4112815,1,DIV.574,CORRÈZE : Election de Sollhac,1215
7,4112815,1,DIV.605,LOZÈRE,82
7,4112815,1,DIV.611,LOT,725
7,4112815,1,DIV.626,GERS,792
7,4112815,1,DIV.647,HAUTES -PYRÉNÉES,1111
7,4112815,1,DIV.677,L'EMPRUNT DE 900 MILLIONS,326
7,4112815,1,DIV.687,Publicité,74
7,4112815,1,DIV.696,BOURSE DE TOULOUSE Du 31 mars,319
7,4112815,1,DIV.704,BOURSE DE PARIS Du 31 mars,1714
7,4112815,1,DIV.723,BULLETIN FINANCIER,431
7,4112815,1,DIV.734,MARCHÉ DU HAVRE,642
7,4112815,1,DIV.747,MARCHE DE PARIS,194
7,4112815,1,DIV.756,MARCHÉ DE BORDEAUX,229
7,4112815,1,DIV.763,"ÉTAT CIVIL DE TOULOUSE : DÉCÈS DES 29, 30 ET 31 MARS",470
7,4112815,1,DIV.771,"OBSERVATIONS METEOROLOGIQUES DE M. BIANCHI A TOULOUSE : Altitude, 142 mètres. — Du 31 mars",160
7,4112815,1,DIV.782,OFFRES ET DEMANDES D'EMPLOIS,230
7,4112815,1,DIV.793,DIV.793,211
8,4112815,2,DIV.805,DIV.805,37
8,4112815,2,DIV.810,DIV.810,40
8,4112815,2,DIV.815,Annonces,5206
8,4112815,2,DIV.892,DIV.892,93
8,4112815,2,DIV.902,DIV.902,76
8,4112815,2,DIV.909,DIV.909,47
8,4112815,2,DIV.915,Annonces,452
8,4112815,2,DIV.927,JEAN LOUP : TROISIÈME PARTIE Le Protecteur,2177
9,4116651,0,DIV.31,L'enseignement primaire gratuit,1120
9,4116651,0,DIV.57,LA BELGIQUE .ET LE VATICAN,878
9,4116651,0,DIV.72,INFORMATIONS,532
9,4116651,0,DIV.90,SITUATION POLITIQUE,646
9,4116651,0,DIV.103,Service télégraphique : des correspondants particuliers de L'EUROPE,401
9,4116651,0,DIV.120,Service Havas et Reuter.,363
9,4116651,0,DIV.142,LA SEMAINE A L'ÉTRANGER,2379
9,4116651,0,DIV.158,CORRESPONDANCES SPÉCIALES : Italie.,1371
9,4116651,0,DIV.180,Bourse de Bruxelles,480
9,4116651,0,DIV.195,DIV.195,1781
9,4116651,0,DIV.228,DIV.228,642
9,4116651,0,DIV.242,"Paris, 3 novembre.",229
9,4116651,0,DIV.254,DIV.254,218
9,4116651,0,DIV.265,"Berlin, 3 novembre.",99
9,4116651,0,DIV.273,"Dépêche télégraphique spéciale, après Bourse.",61
9,4116651,0,DIV.282,DIV.282,982
9,4116651,0,DIV.306,Renseignements.,373
9,4116651,0,DIV.316,Bourse,242
9,4116651,0,DIV.326,DIV.326,3975
9,4116651,0,DIV.377,Programme des théâtres du 4 novembre 1879.,641
9,4116651,0,DIV.391,Extrait de la cote officielle de la Bourse de Bruxelles du 3 novembre,6667
9,4116651,0,DIV.465,MARCHÉ D'ANVERS du 3 novembre. : Par dépêche télégraphique du cor- respondant de l'Europe.,896
9,4116651,0,DIV.484,MARCHÉS ÉTRANGERS. : (Par voie télégraphique.),836
10,4116651,1,DIV.501,DIV.501,5474
11,4117053,0,DIV.30,LE CENTENAIRE DE YORKTOWN,1346
11,4117053,0,DIV.47,NOUVELLES MILITAIRES,524
11,4117053,0,DIV.56,CHRONIQUE PARISIENNE : En Carême?,2022
11,4117053,0,DIV.75,Nouvelles parlementaires,386
11,4117053,0,DIV.88,LA QUESTION DU JOUR,638
11,4117053,0,DIV.103,NOUVELLES DU MONDE,147
11,4117053,0,DIV.108,INFORMATIONS,354
11,4117053,0,DIV.123,SITUATION POLITIQUE,906
11,4117053,0,DIV.138,Service télégraphique,645
11,4117053,0,DIV.168,Lettres de Paris,1342
11,4117053,0,DIV.186,Lettres d'Angleterre,1025
11,4117053,0,DIV.202,Lettres d'Autriche-Hongrie,1307
11,4117053,0,DIV.216,Lettres de Turquie,1394
11,4117053,0,DIV.236,Théâtres,164
11,4117053,0,DIV.246,LE SECRET D'OR PAR PARI SAUNIÈRE : PREMIÈRE PARTIE UN GENTILHOMME D'AVENTURE,1811
11,4117053,0,DIV.340,Bourse de Bruxelles,1865
11,4117053,0,DIV.375,Tramways Bruxellois.,214
11,4117053,0,DIV.384,La conversion des Annuités,820
11,4117053,0,DIV.406,Bourse de Paris : Par dépêche télégraphique du correspondant spécial de l'Europe.,694
11,4117053,0,DIV.426,ÉCHOS DE LA BOURSE DE PARIS,851
11,4117053,0,DIV.459,Bourse de Berlin : Par dépêche télégraphique spéciale du correspondant de l'Europe.,622
11,4117053,0,DIV.471,ÉCHOS DE LA BOURSE DE BERLIN,791
11,4117053,0,DIV.485,ÉCHOS DE LA BOURSE DE VIENNE,543
11,4117053,0,DIV.503,Memento des obligataires : TIRAGES. — Avril.,219
11,4117053,0,DIV.509,Memento des Actionnaires.,283
12,4117053,1,DIV.525,MARCHÉ D'ANVERS du 31 mars. : Par dépêche télégraphique du cor- respondant de l'Europe.,701
12,4117053,1,DIV.549,MARCHÉS ÉTRANGERS. Par voie télégraphique.,968
12,4117053,1,DIV.565,Extrait de la cote officielle de la Bourse de Paris du 30 Mars.,4355
12,4117053,1,DIV.598,INDUSTRIE,400
12,4117053,1,DIV.606,Programmes du 1er avril,243
12,4117053,1,DIV.620,DIV.620,1152
13,4123163,0,DIV.39,Publicité,214
13,4123163,0,DIV.52,DIV.52,28
13,4123163,0,DIV.56,"ATTENTAT AU PLASCIT CONTRE L'AMBASSADE DE POLOGNE A 6 h. 15, ce matin, une violente explosion a endom- magé l'immeuble et les maisons voisines rue de Talleyrand : L'enquête s'orientera-t-elle vers les milieux d'émigrés fascistes qui mènent des campagnes d'excitation contre la République polonaise ?",1825
13,4123163,0,DIV.100,AU THÉÂTRE FRANÇAIS,321
13,4123163,0,DIV.126,L'Inde reconnaît Mao Tsé Toung,71
13,4123163,0,DIV.131,27 DEGRÉS AU-DESSOUS DE 0 A MOSCOU,98
13,4123163,0,DIV.137,UN TRUST AMÉRICAIN VEUT NOUS METTRE AU RÉGIME COCACOLIQUE : Avec 1 milliard 1/2 de publicité COCA-COLA espère vendre en 1952 40 petites bouteilles à chaque Français,1728
13,4123163,0,DIV.173,CASCADE DE SCRUTINS SUR LA CONFIANCE : l'esquif de M. Bidault risque de se retourner en les affrontant malgré les efforts faits hier pour consolider la majorité,1017
13,4123163,0,DIV.202,Les syndicats contre la hausse du métro,118
13,4123163,0,DIV.207,LA PREMIERE ELIMINATOIRE POUR LE CONCOURS DE MISS FRANCE A EU LIEU HIER,198
13,4123163,0,DIV.213,A L'ENTRÉE DE LA GARE DE CHALON-SUR-SAONE : Cinq wagons et le fourgon DU RAPIDE LYON-PARIS SORTENT DES RAILS : 3 voyageurs blessés,273
13,4123163,0,DIV.225,"Fils d' un ancien consul du Brésil à Biarritz : CARLOS DA SILVA RAMOS accusé d'avoir empoisonné sa femme EN LUI FAISANT ABSORBER UN SOMNIFÈRE au curare, proteste de son innocence",772
13,4123163,0,DIV.247,UN DEUXIEME DES QUADRUPLES DE BAPAUME EST MORT HIER,93
13,4123163,0,DIV.253,RENVERSÉ ET TUÉ PAR UN CAMION BOULEVARD BARBES,103
13,4123163,0,DIV.259,A SAINT-OUEN toute une famille ASPHYXIÉE par un poêle,156
13,4123163,0,DIV.267,DOUBLE ASPHYXIE MORTELLE A ISSY-LES-MOULINEAUX,96
13,4123163,0,DIV.272,Publicité,310
13,4123163,0,DIV.305,Le Grain de Sel d'ANDRÉ WURMSER : PRIÈRE A DIEU pour n'être pas fritabriluxifié,1071
13,4123163,0,DIV.320,L'HOMMAGE A ANDRE SAUGER a été également une protestation contre l'attitude du gouvernement,543
13,4123163,0,DIV.331,DIV.331,91
13,4123163,0,DIV.337,FRICASSEE DE PIEDS DE VEAU,206
13,4123163,0,DIV.342,VOYAGES D'HIVER DE TOURISME ET TRAVAIL à des prix abordables,497
13,4123163,0,DIV.363,PROBLEME N° 25,288
13,4123163,0,DIV.372,SOLUTION N° 24,191
13,4123163,0,DIV.379,Un qui n'aime pas le coca-cola,97
14,4123163,1,DIV.390,VENDREDI 30 DECEMBRE,249
14,4123163,1,DIV.397,SAMEDI 31 DECEMBRE,340
14,4123163,1,DIV.408,Publicité,350
14,4123163,1,DIV.430,DIV.430,50
14,4123163,1,DIV.436,OU ALLER AUJOURD'HUI ?,813
14,4123163,1,DIV.465,Music-Halls,369
14,4123163,1,DIV.489,FILMS FRANÇAIS,247
14,4123163,1,DIV.509,FILMS EN VERSION ORIGINALE,740
14,4123163,1,DIV.569,KNOCK-OUT : LE GRAND ROMAN DE LA BOXE AUX U.S.A. par BUDD SCHULBERG (traduit par J. PERIER),2099
14,4123163,1,DIV.608,Publicité,72
14,4123163,1,DIV.618,DIV.618,102
14,4123163,1,DIV.624,LA RÉPUBLIQUE POPULAIRE DE ROUMANIE A DEUX ANS,920
14,4123163,1,DIV.640,A TOKIO le spécialiste n° 1 de la guerre des microbes disparaît brusquement,147
14,4123163,1,DIV.645,Les U.S.A. envoient en renfort un porte-avions et deux contre-torpilleurs en Extrême-Orient,569
14,4123163,1,DIV.659,Annonces,76
14,4123163,1,DIV.663,Publicité,83
14,4123163,1,DIV.681,Publicité,158
14,4123163,1,DIV.698,"VERMANDÉ S'EST mis au garde-à-vous devant le ""fantôme"" de sa victime Aucun doute ne subsiste sur sa culpabilité",733
14,4123163,1,DIV.720,Les lock-out se multiplient : A ANGERS DEBRAYAGE GÉNÉRAL DE PROTESTATION Assemblée générale chez Latil à Suresnes,567
14,4123163,1,DIV.734,UN PIED HUMAIN dans une locomotive en gare de Calais,139
14,4123163,1,DIV.741,"Verdict aujourd'hui pour Paul Farge, l'un des juges sanglants du Tribunal d'Etat",217
14,4123163,1,DIV.750,LES ACTIONS OUVRIÈRES contre la guerre se multiplient à travers la France,549
14,4123163,1,DIV.764,"LE MANCHOT DE LAIGLE A ÉTÉ ASSASSINÉ A COUPS DE PIERRE DE BOUTEILLE, DE MARTEAU DE HACHE ET DE COUTEAU",238
14,4123163,1,DIV.771,Publicité,50
14,4123163,1,DIV.777,"Des vendeurs ""bazardaient"" (pour leur propre compte) tout le Bazar de l'Hôtel-de- Ville",451
15,4123163,2,DIV.794,ON POURRA (peut-être) UTILISER LA STREPTOMYCINE contre la tuberculose non pulmonaire,172
15,4123163,2,DIV.802,DES SAVANTS ANGLAIS recherchent un spécimen de poissons dont l'espèce vivait il y a plusieurs millions d'années,153
15,4123163,2,DIV.810,QUATRE PRETRES se noient dans un lac aux Etats-Unis,127
15,4123163,2,DIV.818,DIV.818,111
15,4123163,2,DIV.824,DIV.824,73
15,4123163,2,DIV.829,DIV.829,70
15,4123163,2,DIV.834,DIV.834,27
15,4123163,2,DIV.839,DIV.839,209
15,4123163,2,DIV.862,DIV.862,382
15,4123163,2,DIV.878,Quatrevingt-treize : Dessins d'André GALLAND d'après le chef d'œuvre de VICTOR HUGO,416
15,4123163,2,DIV.904,GUIDE de L'ACHETEUR PETITS COMMERCANTS ARTISANS-INDUSTRIELS,317
15,4123163,2,DIV.925,DIV.925,273
15,4123163,2,DIV.932,DIV.932,498
15,4123163,2,DIV.972,DIV.972,325
15,4123163,2,DIV.982,DIV.982,408
15,4123163,2,DIV.995,DIV.995,638
15,4123163,2,DIV.1028,Un seul remède contre le jeu dur : SÉVIR SANS FAIBLESSE nous déclare M. SLAVIK de la Commission des arbitres,613
15,4123163,2,DIV.1048,"A BARÉGES, EN SKI : BOUCHER, 1er vainqueur",371
15,4123163,2,DIV.1060,"Puisque VILLEMAIN et DAUTHUILLE s'en désintéressent JEAN STOCK ou, KRAWCZYK doivent prendre LE TITRE FRANÇAIS DES MOYENS",906
15,4123163,2,DIV.1095,LANDAIS a marqué pour les Landes,192
15,4123163,2,DIV.1102,Les espoirs tricolores qui se sont fait la main sur Bizerte rencontrent dimanche la Tunisie,161
15,4123163,2,DIV.1109,"Relégué en 2e Division, puis ""récupéré"" BIHEL peut être le sauveur de STRASBOURG ...et le prochain avant centre national",716
15,4123163,2,DIV.1130,KLINGE bat le record d'Europe du 100 mètres brasse,202
15,4123163,2,DIV.1138,DRIBBLES,224
15,4123163,2,DIV.1147,ASSAUTS DE TENNIS dans le Temple du cyclisme ENTRE... 4 AMÉRICAINS,643
16,4123163,3,DIV.1175,"DEUX ROBIC DANS LE ""TOUR"" et le Championnat de France derrière "" Derny "" !",665
16,4123163,3,DIV.1199,Le bagarreur SAID « cherchera » l'habile NOUHAUD,192
16,4123163,3,DIV.1206,DIV.1206,276
16,4123163,3,DIV.1214,DEM. D'EMPLOI 50 fr.,111
16,4123163,3,DIV.1222,OFFRES D'EMPL. 275 fr.,507
16,4123163,3,DIV.1240,OCCAS. DIVERS. 350 fr.,234
16,4123163,3,DIV.1247,ECHANGE 350 fr.,206
16,4123163,3,DIV.1255,APPARTEMENTS 350 fr.,251
16,4123163,3,DIV.1264,PROPRIETES 350 fr.,374
16,4123163,3,DIV.1275,LOC. COMMER. 350 fr.,832
16,4123163,3,DIV.1286,CAPITAUX 500 fr.,42
16,4123163,3,DIV.1291,PERD. ET TROU. 350 fr.,57
16,4123163,3,DIV.1296,DIVERS 350 fr.,127
16,4123163,3,DIV.1301,Publicité,38
16,4123163,3,DIV.1310,"Ce soir vous aide à trouver du travail : Nous publions ici, chause jour, gratuitement la liste des emplois offerts par les bureaux officiels de la main d'œuvre EMPLOIS DISPONIBLES",1422
17,4133627,0,DIV.35,DIV.35,20
17,4133627,0,DIV.41,Publicité,195
17,4133627,0,DIV.48,"ULTIMES NEGOCIATIONS DE PETSCHE qui répond ce soir : SON PROGRAMME : ❶ SALAIRES Pas d'échelle mobile ; ❷ 10 milliards pour les écoles privées ; ❸ ""Réforme"" immédiate de la Sécurité Sociale et des entreprises nationalisées",1347
17,4133627,0,DIV.92,Aujourd'hui à 18 h. 45 devant le CAFÉ DU CROISSANT : LES PARISIENS COMMÉMORENT LE 37e ANNIVERSAIRE DE L'ASSASSINAT DE JAURÈS,236
17,4133627,0,DIV.100,LE COFFRE-FORT de la pension Roussel n'a pas livré son secret ...aux cambrioleurs,141
17,4133627,0,DIV.111,"Depuis trois jours, une boîte de fruits confits transforme Georges GUETARY en héros",470
17,4133627,0,DIV.128,Dernière minute : LE M.R.P. MAINTIENT SES POSITIONS,145
17,4133627,0,DIV.136,"BERLIN : Au Festival mondial de la Jeunesse, la 1re délé- gation française est ar-rivée la nuit dernière : (DE NOTRE ENVOYE SPECIAL RAYMOND LAVIGNE.)",1191
17,4133627,0,DIV.162,EXPULSÉS IL Y A CINQ MOIS DE LEUR CHAMBRE D'HOTEL : Les Van Meenen et leur enfant (17 mois) ont trouvé pour seul refuge un déversoir de détritus au bord du canal St-Martin,1258
17,4133627,0,DIV.189,"IG LA PIEUVRE ANILINE LE GRAND COMPLOT GERMANO-AMÉRICAIN RACONTÉ PAR MICHEL ROUZÉ : Contre le blocus, Lüdendorff fait appel aux sorciers du goudron de houille ILS LUI DONNENT DU CAOUTCHOUC DES EXPLOSIFS ET DE L'YPÉRITE 2 ARTICLE",2505
17,4133627,0,DIV.235,"DE KAESONG, NOTRE ENVOYÉ SPÉCIAL WILFRED BURCHETT NOUS CÂBLE : Les Américains ne veulent plus reconnaître le 38e parallèle COMME LIGNE DE DÉMARCATION",918
17,4133627,0,DIV.252,DIV.252,26
17,4133627,0,DIV.258,Entre son domicile et le Palais de Justice : LE GREFFIER DU TRIBUNAL DE DOUAI DISPARAIT AVEC 6 MILLIONS,180
17,4133627,0,DIV.266,LE GOUVERNEUR BAODAISTE DU SUD VIETNAM TUÉ A LA GRENADE AU SUD-EST DE SAIGON,199
17,4133627,0,DIV.274,UN NIMOIS AVEUGLE ET SOURD-MUET passe brillamment la seconde partie du « bac »,139
17,4133627,0,DIV.282,30° HIER A PARIS... et 25° (seulement) A NICE,146
17,4133627,0,DIV.294,PROBLEME N° 516,258
17,4133627,0,DIV.301,SOLUTION N° 515,192
17,4133627,0,DIV.308,DIV.308,95
17,4133627,0,DIV.311,GREGORY PECK S'EVANOUIT SOUS LES SUNLIGHTS,87
17,4133627,0,DIV.319,DES GRANDS BOULEVARDS AU BORDS DU TCHAD,896
17,4133627,0,DIV.331,Jacques Lévi-Alvarès est mort,70
17,4133627,0,DIV.336,Publicité,159
17,4133627,0,DIV.351,EN PLEIN ESSOR TECHNIQUE ET ARTISTIQUE le cinéma chinois PUISE SES SUJETS DANS L'ACTUALITÉ,1334
17,4133627,0,DIV.385,"DIMANCHE, AU THÉATRE DE VERDURE DES TUILERIES : ""CLAUDIE"" DE GEORGE SAND FÊTERA SON CENTENAIRE avec les artistes du Palais de Chaillot",642
18,4133627,1,DIV.401,DANY ROBIN est devenue Mme Robinson Crusoë,197
18,4133627,1,DIV.409,THEATRES,142
18,4133627,1,DIV.416,CINEMAS,1314
18,4133627,1,DIV.483,LES MOHIGANS DE PARIS : PAR ALEXANDRE DUMAS,2971
18,4133627,1,DIV.541,"A SON RETOUR DE TÉHÉRAN : M. HARRIMAN se dé-clare satisfait de ""l'état d'esprit"" du gouver-nement britannique",728
18,4133627,1,DIV.559,Avec les allocations familiales de ses locataires et l'argent du terme Mme ADELINE concierge avenue d'Italie payait ses meubles,402
18,4133627,1,DIV.570,Publicité,41
18,4133627,1,DIV.584,"Le Q. G. américain : : ""AUCUN PROGRÈS AU COURS DE LA 15e RÉUNION""",677
18,4133627,1,DIV.606,Publicité,17
18,4133627,1,DIV.611,Des douilles de revolver vont-elles confondre Henry DEMON agresseur présumé de son épouse ?,224
18,4133627,1,DIV.619,L'affaire des bons d'Arras : Portie et Sciorrato transférés à Paris,178
18,4133627,1,DIV.625,Plus de mystère à Bourges LA MANNE CELESTE (une pluie de billets de mille) n'était que le produit d'un vol,231
18,4133627,1,DIV.632,D'ELLIS-ISLAND (où il était interné) FRANÇOIS ORSINI DIRIGEAIT UN GANG INTERNATIONAL DE TRAFIQUANTS,230
18,4133627,1,DIV.641,MARDI 31 JUILLET,438
18,4133627,1,DIV.657,MERCREDI 1er AOUT,230
18,4133627,1,DIV.672,A BERLIN CAPITALE DE LA JEUNESSE DU MONDE POUR LA PAIX,126
18,4133627,1,DIV.680,POUR ARRACHER HENRI MARTIN AU BAGNE : Des centaines de Parisiens sont partis en vacances porteurs de pétitions qu'ils feront signer réclamant la libération du marin de la Paix,472
18,4133627,1,DIV.690,"« Elle m'a mis en colère, alors j'ai frappé... » Telle fut l'oraison funèbre de l'ivrogne de Guebwiller",271
18,4133627,1,DIV.699,Georges Meyer le père criminel du 6e arrondissement était fou,122
18,4133627,1,DIV.709,"Aujourd'hui, à LONGCHAMP",247
18,4133627,1,DIV.721,Une petite Norvégienne de 13 ans survit à une chute de 40 mètres,112
18,4133627,1,DIV.728,Mme ROSENBERG ministre adjoint de la Guerre des U.S.A. A PARIS,90
18,4133627,1,DIV.734,"DEUX PROCÈS DE TRAHISON DEVANT LES JUGES MILITAIRES : UN ITALIEN, PLONGEUR, PROMU CONTROLEUR DES HOTELS RÉQUI-SITIONNÉS ALLEMANDS UN DÉNONCIATEUR DU S.D. DE VERSAILLES",591
18,4133627,1,DIV.748,Ses parents ne s'entendaient pas : Il se tire une balle dans la tête,140
18,4133627,1,DIV.755,Publicité,70
19,4133627,2,DIV.761,Publicité,70
19,4133627,2,DIV.777,1.400.000 SIGNATURES RECUEILLIES DANS LA SEINE pour la conclusion d'un Pacte de Paix,477
19,4133627,2,DIV.789,PORT-SAID.,31
19,4133627,2,DIV.794,"L'AFFAIRE DU CROS D'UTELLE : Le mystérieux jeune homme blond retrouvé, on en recherche maintenant un autre qui a disparu à bord... d'un pédalo",1324
19,4133627,2,DIV.820,Publicité,89
19,4133627,2,DIV.835,"NOTRE CONCOURS : J'ai parlé à l'un de ceux qui n'en savaient rien : Notre dernier gagnant est, au- jourd'hui, M. Le Baud, 14, rue de Fécamp (12e). Au volant de mon taxi",985
19,4133627,2,DIV.865,"Comment l'AURORE "" informe"" ses lecteurs",1404
19,4133627,2,DIV.886,M. Georges BOUSSENOT : VICE-PRÉSIDENT DU GROUPE DU RASSEMBLEMENT DES GAUCHES A L'ASSEMBLÉE DE L'UNION FRANÇAISE,795
19,4133627,2,DIV.912,"Après la mode ""sage"" PARLONS UN PEU DE la mode ""folle""",1324
19,4133627,2,DIV.959,BEAUTÉ en VACANCES,884
19,4133627,2,DIV.975,Publicité,65
19,4133627,2,DIV.987,DEM. D'EMPLOI 50 fr.,100
19,4133627,2,DIV.994,OFFRES D'EMPL. 275 fr.,325
19,4133627,2,DIV.1008,PERD. ET TROU. 350 fr.,75
19,4133627,2,DIV.1013,GARDE D'ENF. 150 fr.,127
19,4133627,2,DIV.1020,AUTOS 350 fr.,79
19,4133627,2,DIV.1027,APPARTEMENTS 350 fr.,221
19,4133627,2,DIV.1035,FONDS DE COM. 350 fr.,971
19,4133627,2,DIV.1055,PROPRIETES 350 fr.,438
19,4133627,2,DIV.1075,DIV.1075,642
